account;outcome;evaluation;industry;propensity;contract;date;amount;days
553;Lost;B;Academia;Good;Monthly;03-01-2022;3.395.346.259.866.160;7.345.979.211.231.170
554;Lost;None;Government;Poor;Annual;03-01-2022;3.482.720.008.383.140;2.964.836.757.639.480
555;Won;B;Government;Average;Annual;03-01-2022;508.976.557.511.301;38.987.257.729.678.600
556;Lost;None;Manufacturing;Good;Monthly;03-01-2022;4.660.795.481.256.020;36.239.304.026.366.600
557;Lost;A;Government;Good;Monthly;03-01-2022;4.698.320.701.759.110;30.753.952.587.354.300
558;Lost;A;Academia;Good;Monthly;03-01-2022;43.388.861.145.593.000;27.491.250.376.978.500
559;Lost;A;Finance;Poor;Annual;03-01-2022;5.762.298.689.097.660;4.446.873.345.633.520
560;Lost;B;Academia;Good;Monthly;03-01-2022;3.772.974.592.111.530;26.529.644.287.628.800
561;Lost;None;Manufacturing;Poor;Annual;03-01-2022;3.847.913.170.602.080;37.071.495.912.711.600
562;Lost;A;Finance;Good;Annual;03-01-2022;5.418.416.396.853.550;40.683.140.145.702.100
563;Lost;None;Finance;Average;Annual;03-01-2022;4.650.249.138.609.890;2.778.941.043.091.840
564;Lost;None;Manufacturing;Good;Monthly;03-01-2022;46.274.827.011.784.300;24.811.028.431.404.100
565;Won;None;Manufacturing;Good;Annual;03-01-2022;3.800.096.499.914.420;8.984.237.205.169.200
566;Lost;A;Finance;Good;Annual;03-01-2022;5.022.658.305.925.750;3.894.685.633.434.460
567;Won;B;Energy;Good;Annual;03-01-2022;4.680.214.952.642.290;25.767.192.792.773.100
568;Won;B;Government;Average;Annual;03-01-2022;4.832.830.857.292.360;21.922.699.087.953.300
569;Lost;None;Government;Good;Annual;03-01-2022;5.561.105.123.336.540;3.497.479.209.231.450
570;Lost;None;Government;Good;Monthly;03-01-2022;52.972.792.642.758.700;28.045.975.944.996.200
571;Won;A;Manufacturing;Good;Monthly;03-01-2022;4.535.829.918.446.760;2.528.987.676.813.490
572;Lost;B;Finance;Good;Monthly;03-01-2022;5.661.340.677.452.080;5.792.727.499.553.000
573;Lost;A;Academia;Poor;Annual;03-01-2022;3.847.537.299.336.440;28.081.192.759.391.200
574;Lost;B;Government;Average;Annual;03-01-2022;4.309.399.695.732.090;22.657.991.320.803.000
575;Won;None;Finance;Good;Monthly;03-01-2022;44.589.180.593.069.200;2.431.117.987.785.070
576;Won;None;Energy;Poor;Monthly;03-01-2022;434.083.758.765.161;27.230.020.091.382.500
577;Won;B;Manufacturing;Good;Annual;03-01-2022;41.347.890.427.344.900;35.594.456.901.769.500
578;Lost;None;Finance;Average;Annual;03-01-2022;61.732.884.780.585.600;42.996.067.825.914.600
579;Won;A;Government;Poor;Annual;03-01-2022;43.072.509.950.942.400;21.034.054.046.495.200
580;Lost;B;Energy;Good;Monthly;03-01-2022;436.759.931.628.398;14.852.275.216.744.400
581;Won;A;Finance;Good;Monthly;03-01-2022;56.201.999.026.304.900;28.678.175.405.593.400
582;Lost;None;Manufacturing;Average;Monthly;03-01-2022;4.698.670.817.479.320;10.862.584.604.645.300
583;Won;A;Government;Good;Annual;03-01-2022;41.090.232.935.686.600;303.990.222.614.755
584;Won;None;Manufacturing;Average;Annual;03-01-2022;28.461.488.643.736.900;12.866.435.285.422.100
585;Won;B;Finance;Average;Monthly;03-01-2022;6.161.050.466.112.790;29.695.249.684.004.200
586;Lost;None;Manufacturing;Poor;Annual;03-01-2022;34.882.738.514.451.700;39.259.024.354.832.500
587;Won;B;Government;Average;Annual;03-01-2022;4.247.226.257.612.950;12.973.543.507.386.400
588;Lost;B;Finance;Average;Monthly;03-01-2022;603.327.483.737.518;49.944.280.119.065.400
589;Lost;A;Manufacturing;Good;Annual;03-01-2022;3.629.915.342.916.480;21.552.446.453.899.500
590;Lost;None;Finance;Good;Monthly;03-01-2022;57.627.565.473.397.500;5.422.510.736.060.370
591;Lost;A;Government;Average;Annual;03-01-2022;42.487.362.825.970.500;196.743.006.498.858
592;Won;B;Finance;Average;Annual;03-01-2022;45.072.355.863.479.400;15.361.067.940.769.300
593;Won;None;Government;Poor;Annual;03-01-2022;4.428.150.070.645.990;47.556.485.811.491.300
594;Lost;A;Energy;Good;Monthly;03-01-2022;55.620.832.609.349.100;63.700.025.811.495.500
595;Lost;A;Manufacturing;Average;Annual;03-01-2022;3.517.636.219.862.940;65.153.963.683.211.300
596;Won;A;Government;Good;Annual;03-01-2022;46.009.009.372.110.000;28.042.980.028.216.100
597;Won;None;Finance;Good;Monthly;03-01-2022;6.339.892.579.416.280;411.644.082.759.827
598;Won;B;Government;Good;Monthly;03-01-2022;5.515.651.767.994.000;5.699.344.759.857.950
599;Lost;None;Finance;Good;Annual;03-01-2022;5.672.985.668.507.280;4.800.164.623.593.940
600;Lost;None;Government;Good;Monthly;03-01-2022;5.164.882.923.537.480;3.278.632.859.812.250
601;Won;None;Finance;Good;Annual;03-01-2022;4.289.929.369.182.440;3.018.313.464.279.360
602;Won;A;Finance;Average;Annual;03-01-2022;4.473.340.668.320.500;29.837.703.419.891.600
603;Lost;None;Energy;Good;Monthly;03-01-2022;5.424.161.972.219.420;31.660.900.339.642.800
604;Won;B;Government;Good;Annual;03-01-2022;5.330.843.282.524.830;27.893.722.433.581.200
605;Lost;None;Manufacturing;Average;Monthly;03-01-2022;5.400.172.593.609.760;3.190.267.913.581.480
606;Lost;None;Finance;Good;Annual;03-01-2022;4.692.179.217.819.320;34.072.279.097.902.800
607;Lost;B;Manufacturing;Average;Monthly;03-01-2022;4.721.709.011.680.480;410.179.828.078.719
608;Lost;A;Finance;Average;Monthly;03-01-2022;4.921.627.045.384.580;24.787.159.113.794.200
609;Won;B;Government;Poor;Annual;03-01-2022;4.782.495.780.599.100;5.040.313.063.116.860
610;Won;None;Government;Good;Annual;03-01-2022;36.487.158.251.931.600;9.830.761.876.931.840
611;Lost;None;Manufacturing;Average;Monthly;03-01-2022;59.789.168.733.905.700;4.211.342.405.646.780
612;Won;A;Finance;Poor;Monthly;03-01-2022;6.203.975.276.220.320;33.918.457.267.294.400
613;Lost;None;Academia;Average;Annual;03-01-2022;3.601.575.264.009.960;3.151.992.569.999.400
614;Won;A;Finance;Good;Annual;03-01-2022;4.869.610.285.736.880;18.061.326.401.244.600
615;Lost;B;Manufacturing;Good;Monthly;03-01-2022;4.685.430.984.445.060;19.559.292.203.578.100
616;Lost;A;Finance;Average;Monthly;03-01-2022;577.943.198.570.357;447.886.370.786.806
617;Lost;None;Government;Average;Monthly;03-01-2022;5.077.704.782.376.820;29.176.826.903.245.000
618;Lost;A;Government;Good;Monthly;03-01-2022;4.961.608.743.688.520;3.899.940.482.372.370
619;Lost;None;Government;Poor;Annual;03-01-2022;4.941.637.159.609.500;20.997.598.259.929.100
620;Lost;B;Government;Good;Monthly;03-01-2022;4.794.883.449.105.710;31.018.279.454.077.100
621;Lost;A;Manufacturing;Poor;Monthly;03-01-2022;4.207.011.774.810.830;4.177.056.613.373.920
622;Won;A;Government;Good;Monthly;03-01-2022;55.650.093.890.101.500;49.192.778.534.579.900
623;Lost;A;Manufacturing;Average;Annual;03-01-2022;37.191.577.206.065.600;1.875.326.208.473.910
624;Won;A;Government;Poor;Monthly;03-01-2022;4.630.415.519.281.850;18.210.815.774.433.800
625;Won;A;Manufacturing;Good;Monthly;03-01-2022;4.824.312.471.350.290;46.414.954.924.727.700
626;Lost;A;Manufacturing;Average;Monthly;03-01-2022;40.332.552.690.692.200;12.496.564.472.914.800
627;Lost;B;Energy;Average;Monthly;03-01-2022;4.479.862.021.685;20.693.072.208.531.800
628;Lost;None;Finance;Good;Annual;03-01-2022;5.225.404.318.537.610;16.381.039.319.194.900
629;Won;A;Government;Average;Monthly;03-01-2022;4.985.140.174.875.540;26.306.065.466.465.700
630;Won;A;Academia;Average;Monthly;03-01-2022;3.553.617.078.921.490;3.291.666.468.792.650
631;Won;B;Government;Good;Annual;03-01-2022;46.848.171.891.578.700;3.542.404.608.007.370
632;Won;A;Academia;Poor;Annual;03-01-2022;3.514.877.506.130.380;10.460.514.714.913.100
633;Won;A;Insurance;Good;Annual;03-01-2022;4.021.814.749.957.330;3.521.229.285.243.210
634;Won;A;Academia;Good;Monthly;03-01-2022;3.892.465.761.287.640;16.735.747.197.772.700
635;Won;None;Government;Good;Annual;03-01-2022;4.547.477.465.166.420;2.788.256.534.671.770
636;Won;None;Government;Good;Annual;03-01-2022;4.385.256.813.287.390;26.182.240.842.917.900
637;Lost;A;Academia;Good;Annual;03-01-2022;3.264.014.484.040.410;10.150.371.412.098.000
638;Won;None;Academia;Good;Annual;03-01-2022;3.466.323.421.975.480;11.077.779.208.882.400
639;Lost;None;Government;Poor;Annual;03-01-2022;4.938.026.306.610.590;23.217.199.673.199.400
640;Won;None;Finance;Good;Monthly;03-01-2022;5.848.842.305.038.990;2.910.735.950.140.500
641;Lost;A;Manufacturing;Average;Monthly;03-01-2022;4.979.443.549.524.320;2.638.206.284.007.380
642;Won;B;Manufacturing;Good;Annual;03-01-2022;3.561.417.662.892.090;8.193.997.362.104.300
643;Lost;A;Finance;Good;Monthly;03-01-2022;5.557.138.601.589.480;3.764.231.722.838.410
644;Won;A;Energy;Good;Annual;03-01-2022;5.055.712.198.433.960;14.015.177.168.407.300
645;Lost;None;Manufacturing;Good;Annual;03-01-2022;36.564.589.526.266.100;10.972.639.178.233.200
646;Lost;A;Government;Good;Monthly;03-01-2022;5.675.543.583.067.960;3.287.425.897.749.940
647;Lost;B;Manufacturing;Good;Annual;03-01-2022;42.557.390.938.671.200;17.254.991.245.125.800
648;Lost;B;Government;Good;Monthly;03-01-2022;4.922.327.973.235.550;43.878.474.208.300.000
649;Lost;B;Manufacturing;Good;Monthly;03-01-2022;4.940.725.172.699.650;3.956.592.910.739.750
650;Won;A;Energy;Good;Annual;03-01-2022;3.782.623.880.255.660;11.784.041.044.169.000
651;Won;B;Manufacturing;Good;Monthly;03-01-2022;4.816.588.902.528.620;5.045.716.792.257.400
652;Won;B;Manufacturing;Average;Monthly;03-01-2022;4.176.932.717.073.450;30.928.700.501.048.600
653;Lost;None;Manufacturing;Average;Monthly;03-01-2022;42.886.304.959.223.800;3.015.223.507.098.550
654;Lost;None;Manufacturing;Average;Monthly;03-01-2022;4.586.357.959.241.340;2.331.216.041.448.130
655;Won;A;Government;Good;Annual;03-01-2022;52.625.031.438.291.400;4.569.937.755.532.380
656;Won;None;Academia;Average;Annual;03-01-2022;3.716.005.868.925.150;2.113.480.116.759.040
657;Won;A;Energy;Poor;Annual;03-01-2022;4.091.444.771.269.510;15.579.053.706.657.500
658;Won;A;Finance;Average;Annual;03-01-2022;51.913.644.497.030.000;22.355.612.664.056.300
659;Won;None;Government;Good;Monthly;03-01-2022;52.226.307.951.947.300;33.019.631.198.399.300
660;Lost;None;Finance;Average;Monthly;03-01-2022;5.116.173.402.481.930;4.792.284.264.617.080
661;Won;A;Government;Good;Monthly;03-01-2022;4.684.330.948.571.940;4.575.777.420.570.570
662;Won;A;Manufacturing;Good;Monthly;03-01-2022;4.670.339.557.956.850;34.839.993.725.839.800
663;Won;None;Government;Good;Annual;03-01-2022;3.724.521.623.335.100;14.259.929.337.827.900
664;Won;None;Academia;Average;Annual;03-01-2022;3.649.074.490.234.830;3.051.048.803.196.250
665;Lost;None;Manufacturing;Good;Annual;03-01-2022;3.606.344.500.486.520;10.647.918.916.451.800
666;Lost;None;Finance;Average;Annual;03-01-2022;51.632.847.347.193.600;10.277.602.252.269.900
667;Won;A;Finance;Good;Annual;03-01-2022;48.148.565.693.030.200;14.220.365.416.609.600
668;Won;A;Energy;Average;Annual;03-01-2022;5.081.078.532.682.590;31.427.339.235.093.200
669;Won;A;Government;Good;Monthly;03-01-2022;5.294.910.867.873.510;31.244.442.878.922.900
670;Lost;B;Manufacturing;Poor;Annual;03-01-2022;4.595.708.636.500.270;2.297.621.007.350.000
671;Won;A;Academia;Poor;Annual;03-01-2022;27.296.572.065.267.200;2.213.274.438.266.500
672;Lost;None;Finance;Poor;Monthly;03-01-2022;5.935.213.799.876.960;3.905.194.766.410.500
673;Lost;None;Government;Good;Annual;03-01-2022;4.604.680.286.019.710;28.000.008.494.900.800
674;Lost;A;Government;Average;Monthly;03-01-2022;41.662.156.960.949.600;4.116.008.530.301.820
675;Won;None;Finance;Average;Annual;03-01-2022;51.937.121.168.456.500;3.282.925.909.008.910
676;Won;None;Academia;Good;Annual;03-01-2022;3.552.963.762.569.730;1.022.160.864.367.390
677;Won;None;Academia;Good;Annual;03-01-2022;353.515.305.830.871;22.252.417.451.117.600
678;Lost;None;Government;Average;Monthly;03-01-2022;5.534.786.067.831.510;275.655.697.026.203
679;Won;A;Energy;Good;Monthly;03-01-2022;47.258.794.652.648.400;33.752.403.745.571.400
680;Won;A;Government;Average;Monthly;03-01-2022;4.669.876.053.183.980;24.099.783.903.904.000
681;Won;B;Finance;Good;Monthly;03-01-2022;5.656.510.865.348.090;53.033.168.519.818.500
682;Won;B;Government;Good;Monthly;03-01-2022;4.153.763.870.584.260;11.435.966.979.684.200
683;Lost;None;Government;Good;Annual;03-01-2022;3.413.919.289.551.830;2.980.635.935.639.790
684;Won;A;Manufacturing;Good;Monthly;03-01-2022;45.676.268.027.955.500;4.495.589.527.846.230
685;Lost;A;Manufacturing;Good;Annual;03-01-2022;3.135.865.513.360.980;3.576.807.376.033.780
686;Won;B;Government;Good;Monthly;03-01-2022;50.154.438.596.976.500;3.886.387.063.576.060
687;Lost;A;Academia;Average;Monthly;03-01-2022;2.754.123.538.790.940;1
688;Lost;A;Government;Average;Annual;03-01-2022;503.750.610.569.779;30.964.778.317.543.700
689;Won;B;Finance;Good;Annual;03-01-2022;4.842.350.950.778.910;24.666.257.011.133
690;Won;A;Finance;Poor;Annual;03-01-2022;4.357.643.007.122.930;15.598.810.024.299.700
691;Won;A;Energy;Average;Monthly;03-01-2022;4.500.518.082.225.320;11.567.610.855.282.500
692;Lost;None;Finance;Good;Monthly;03-01-2022;5.349.695.911.123.190;29.159.762.853.681.300
693;Lost;B;Finance;Good;Monthly;03-01-2022;50.165.280.106.991.700;26.329.447.593.595.500
694;Lost;A;Finance;Good;Annual;03-01-2022;46.892.738.628.867.800;1.996.714.829.807.760
695;Lost;B;Manufacturing;Good;Annual;03-01-2022;4.187.348.309.639.310;11.676.850.126.734.800
696;Won;None;Government;Poor;Monthly;03-01-2022;5.577.096.314.994.700;2.713.977.581.519.040
697;Lost;B;Manufacturing;Good;Annual;03-01-2022;40.915.309.358.544.400;31.380.513.414.021.600
698;Won;None;Government;Good;Monthly;03-01-2022;5.439.368.184.712.130;5.525.258.406.720.380
699;Won;B;Government;Good;Monthly;03-01-2022;54.578.212.451.032.500;6.073.150.906.814.810
700;Lost;A;Manufacturing;Good;Monthly;03-01-2022;4.218.319.014.676.840;14.171.598.891.888.800
701;Won;A;Energy;Good;Monthly;03-01-2022;4.966.397.678.725.770;4.044.051.287.110.940
702;Won;B;Manufacturing;Good;Annual;03-01-2022;4.418.798.641.874.330;19.122.683.846.338.800
703;Lost;None;Government;Good;Annual;03-01-2022;4.136.562.484.194.630;3.081.990.015.899.040
704;Won;A;Government;Good;Monthly;03-01-2022;57.116.395.671.386.100;4.706.364.807.357.690
705;Lost;A;Finance;Average;Monthly;03-01-2022;6.579.347.653.876.490;47.763.829.099.684.900
706;Lost;A;Energy;Good;Monthly;03-01-2022;4.336.694.212.003.320;11.787.893.925.897.600
707;Won;A;Manufacturing;Average;Monthly;03-01-2022;49.814.926.035.336.700;43.416.212.662.230.100
708;Lost;A;Government;Average;Annual;03-01-2022;4.580.153.730.720.300;34.436.906.215.055.900
709;Won;B;Government;Average;Annual;03-01-2022;4.578.818.562.672.310;2.238.275.890.440.480
710;Lost;None;Academia;Good;Annual;03-01-2022;3.440.382.402.577.280;10.699.097.287.925.400
711;Lost;B;Energy;Good;Annual;03-01-2022;4.841.854.593.454.880;2.636.220.521.635.990
712;Won;None;Manufacturing;Good;Monthly;03-01-2022;4.974.106.543.183.130;3.798.912.678.881.700
713;Won;A;Government;Good;Annual;03-01-2022;3.750.133.541.144.670;12.314.807.766.503.100
714;Lost;None;Energy;Good;Monthly;03-01-2022;5.085.759.284.987.710;3.706.972.119.108.630
715;Won;None;Government;Good;Monthly;03-01-2022;5.405.530.513.901.480;28.946.421.054.632.300
716;Won;A;Government;Average;Annual;03-01-2022;4.709.813.850.357.570;4.813.123.931.991.230
717;Lost;B;Government;Good;Monthly;03-01-2022;594.378.906.771.061;396.678.279.100.739
718;Won;B;Academia;Average;Annual;03-01-2022;30.017.176.168.497.700;16.786.756.790.696.900
719;Lost;None;Manufacturing;Good;Annual;03-01-2022;44.811.884.300.960.700;2.031.206.662.470.350
720;Won;None;Energy;Good;Annual;03-01-2022;4.263.025.277.807.800;35.367.904.736.681.300
721;Lost;None;Government;Poor;Monthly;03-01-2022;56.345.964.863.815.400;39.689.056.285.976.600
722;Lost;None;Energy;Good;Annual;03-01-2022;48.200.593.217.921.800;3.870.787.745.723.770
723;Lost;A;Manufacturing;Good;Monthly;03-01-2022;4.444.162.178.066.960;24.963.627.733.427.500
724;Lost;B;Energy;Good;Monthly;03-01-2022;4.566.769.247.193.460;552.920.538.077.019
725;Lost;B;Energy;Average;Monthly;03-01-2022;4.539.644.753.663.340;24.103.733.589.430.200
726;Won;A;Government;Good;Annual;03-01-2022;48.179.465.645.341.300;19.099.033.332.244.400
727;Lost;None;Manufacturing;Good;Monthly;03-01-2022;3.979.886.418.252.890;21.522.038.550.176.900
728;Won;B;Finance;Good;Annual;03-01-2022;5.719.257.534.801.970;5.152.694.241.515.540
729;Lost;None;Manufacturing;Average;Monthly;03-01-2022;4.035.189.747.480.780;14.705.181.534.475.300
730;Won;A;Government;Good;Annual;03-01-2022;4.889.237.735.534.710;17.658.228.411.169.400
731;Won;None;Finance;Average;Monthly;03-01-2022;533.259.075.542.584;5.439.448.208.282.950
732;Lost;None;Finance;Average;Annual;03-01-2022;46.494.287.718.606.200;21.973.847.129.300.600
733;Lost;A;Manufacturing;Good;Annual;03-01-2022;4.326.393.812.164.530;15.473.648.822.455.100
734;Lost;A;Government;Good;Monthly;03-01-2022;4.472.774.462.267.130;3.294.414.604.670.400
735;Won;B;Finance;Good;Monthly;03-01-2022;48.592.448.759.287.700;4.247.780.237.600.340
736;Won;A;Government;Good;Monthly;03-01-2022;4.197.165.297.258.880;3.372.745.011.155.310
737;Lost;None;Energy;Good;Monthly;03-01-2022;52.673.871.436.527.900;3.958.910.620.752.160
738;Won;None;Energy;Good;Monthly;03-01-2022;4.343.050.042.183.710;23.428.615.771.839.600
739;Won;B;Academia;Good;Annual;03-01-2022;39.276.247.736.439.800;18.627.520.558.078.700
740;Lost;A;Manufacturing;Poor;Monthly;03-01-2022;568.905.292.873.457;389.350.636.340.162
741;Lost;None;Academia;Good;Monthly;03-01-2022;4.201.409.210.654.020;5.058.077.230.320.250
742;Won;None;Finance;Poor;Annual;03-01-2022;4.646.052.464.305.650;3.445.826.801.573.620
743;Won;B;Government;Good;Monthly;03-01-2022;509.543.351.688.945;3.881.536.583.126.720
744;Lost;None;Finance;Average;Monthly;03-01-2022;5.479.267.296.964.320;31.655.158.723.585.000
745;Lost;None;Finance;Average;Monthly;03-01-2022;5.711.778.698.831.440;4.632.365.338.407.770
746;Won;None;Manufacturing;Good;Monthly;03-01-2022;4.359.669.646.778.800;21.379.459.141.980.000
747;Lost;A;Finance;Average;Monthly;03-01-2022;5.717.927.966.168.650;4.059.680.386.759.240
748;Won;B;Government;Average;Annual;03-01-2022;4.537.754.804.735.960;4.010.420.020.080.130
749;Lost;A;Manufacturing;Average;Monthly;03-01-2022;5.194.226.631.290.810;3.953.549.189.806.450
750;Won;A;Government;Good;Annual;03-01-2022;42.907.258.931.176.400;182.788.073.717.321
751;Lost;A;Manufacturing;Average;Annual;03-01-2022;47.318.481.464.850.600;3.634.448.281.893.780
752;Won;A;Finance;Poor;Monthly;03-01-2022;487.927.393.617.577;2.139.692.324.444.690
753;Lost;A;Energy;Good;Monthly;03-01-2022;5.291.496.373.207.420;29.470.642.438.627.100
754;Won;None;Finance;Good;Monthly;03-01-2022;568.763.882.331.523;37.776.222.673.428.600
755;Lost;None;Government;Good;Monthly;03-01-2022;507.206.857.923.615;42.002.250.066.302.600
756;Won;B;Finance;Average;Annual;03-01-2022;5.029.336.248.524.550;30.741.448.867.261.400
757;Won;B;Energy;Average;Annual;03-01-2022;4.047.955.145.046.620;19.486.838.505.034.200
758;Won;A;Energy;Average;Monthly;03-01-2022;5.287.981.568.559.020;2.637.255.500.963.320
759;Won;None;Government;Good;Monthly;03-01-2022;60.650.740.503.052.800;5.042.077.714.984.870
760;Lost;None;Government;Good;Monthly;03-01-2022;4.860.255.188.978.710;1.562.643.471.347.360
761;Won;A;Manufacturing;Poor;Annual;03-01-2022;3.914.882.069.160.400;26.801.453.604.064.500
762;Lost;None;Manufacturing;Poor;Annual;03-01-2022;4.141.844.934.397.530;19.939.291.929.641.100
763;Lost;B;Academia;Good;Annual;03-01-2022;30.205.241.992.027.200;14.433.469.093.135.400
764;Lost;B;Finance;Good;Monthly;03-01-2022;5.643.289.311.975.800;4.419.363.739.577.030
765;Won;B;Government;Good;Monthly;03-01-2022;46.393.792.018.024.700;3.263.351.223.438.100
766;Won;B;Academia;Poor;Annual;03-01-2022;3.576.060.266.992.620;8.903.881.371.448.240
767;Lost;None;Finance;Good;Monthly;03-01-2022;59.421.549.201.354.600;56.606.660.366.148.600
768;Won;None;Government;Poor;Monthly;03-01-2022;60.454.838.175.392.200;24.738.412.348.617.900
769;Won;B;Manufacturing;Average;Annual;03-01-2022;3.777.983.697.424.620;29.606.075.544.879.100
770;Lost;None;Finance;Average;Monthly;03-01-2022;56.600.964.259.712.400;49.632.038.062.885.600
771;Lost;B;Government;Average;Annual;03-01-2022;39.302.812.021.310.000;3.865.172.019.513.740
772;Won;B;Finance;Average;Annual;03-01-2022;5.563.747.006.436.810;40.815.992.875.589.800
773;Lost;A;Manufacturing;Average;Monthly;03-01-2022;4.264.332.322.294.020;18.202.914.094.196.000
774;Won;None;Energy;Average;Annual;03-01-2022;4.208.880.786.482.450;11.693.780.260.638.900
775;Lost;B;Finance;Good;Monthly;03-01-2022;5.504.097.154.334.070;40.349.548.655.012.100
776;Won;B;Government;Good;Monthly;03-01-2022;5.706.892.648.262.180;3.903.009.140.174.270
777;Won;None;Government;Good;Annual;03-01-2022;49.594.822.436.035.500;3.965.634.510.402.880
778;Lost;None;Government;Good;Monthly;03-01-2022;4.611.038.533.226.870;28.143.658.729.427.400
779;Won;A;Government;Poor;Annual;03-01-2022;4.727.702.516.970.050;38.431.578.798.492.300
780;Lost;None;Government;Good;Monthly;03-01-2022;4.924.546.947.112.360;28.641.250.126.377.300
781;Won;None;Academia;Poor;Annual;03-01-2022;3.791.667.266.119.990;8.061.117.221.850.250
782;Lost;None;Finance;Good;Monthly;03-01-2022;55.625.869.705.691;3.710.782.494.358.530
783;Lost;None;Manufacturing;Good;Monthly;03-01-2022;46.944.697.539.387.900;3.507.628.270.314.050
784;Won;B;Government;Good;Annual;03-01-2022;4.200.603.978.503.650;2.984.071.044.865.410
785;Lost;B;Government;Good;Monthly;03-01-2022;536.697.510.183.652;1.797.500.800.429.500
786;Lost;B;Finance;Good;Monthly;03-01-2022;5.194.925.898.252.330;23.771.621.153.142.400
787;Lost;B;Manufacturing;Average;Monthly;03-01-2022;4.356.530.640.459.230;10.323.590.232.514.300
788;Lost;None;Manufacturing;Good;Monthly;03-01-2022;3.680.552.774.334.530;3.276.968.741.043.970
789;Won;None;Manufacturing;Good;Annual;03-01-2022;4.148.609.854.001.930;9.508.977.026.479.020
790;Won;A;Energy;Good;Monthly;03-01-2022;57.124.576.471.545.700;34.250.199.571.667.300
791;Won;B;Finance;Average;Monthly;03-01-2022;4.663.335.208.808.740;15.783.024.293.412.500
792;Won;B;Finance;Average;Annual;03-01-2022;4.983.740.276.559.180;25.578.899.005.467.400
793;Lost;A;Finance;Good;Monthly;03-01-2022;5.498.522.208.505.010;3.907.737.508.858.380
794;Lost;A;Academia;Average;Monthly;03-01-2022;3.719.606.624.705.020;357.903.905.734.517
795;Won;A;Manufacturing;Good;Annual;03-01-2022;421.542.270.134.768;14.594.746.316.343.500
796;Won;B;Manufacturing;Good;Annual;03-01-2022;4.590.669.388.862.400;27.756.826.338.851.800
797;Lost;None;Energy;Good;Monthly;03-01-2022;47.114.153.528.356.800;24.343.853.720.307.200
798;Won;None;Manufacturing;Poor;Annual;03-01-2022;48.891.825.671.816.000;19.661.227.911.064.400
799;Lost;A;Pharmaceuticals;Good;Monthly;03-01-2022;6.694.611.125.099.210;4.583.062.984.524.260
800;Lost;None;Manufacturing;Good;Monthly;03-01-2022;5.530.123.698.519.250;3.981.497.132.866.790
801;Lost;A;Finance;Good;Annual;03-01-2022;4.865.412.162.834.180;16.892.340.860.095.000
802;Won;A;Finance;Good;Annual;03-01-2022;4.736.256.533.065.260;4.529.116.495.607.610
803;Lost;None;Manufacturing;Average;Annual;03-01-2022;4.895.501.750.121.040;4.264.553.846.731.870
804;Lost;A;Academia;Good;Monthly;03-01-2022;468.319.835.185.882;17.073.174.807.048.700
805;Won;None;Energy;Good;Monthly;03-01-2022;5.067.662.628.104.670;3.392.609.647.001.160
806;Won;None;Government;Poor;Annual;03-01-2022;4.525.519.319.539.830;4.322.210.013.224.380
807;Won;None;Energy;Good;Monthly;03-01-2022;3.864.623.864.810.620;65.793.051.164.398.900
808;Won;None;Government;Average;Annual;03-01-2022;43.554.110.367.571.300;2.335.869.905.295.370
809;Won;None;Finance;Good;Monthly;03-01-2022;5.553.933.985.836.210;360.412.158.216.184
810;Won;A;Government;Good;Annual;03-01-2022;4.583.629.842.333.380;14.327.145.974.132.500
811;Won;B;Government;Average;Monthly;03-01-2022;5.022.317.586.176.260;4.383.997.652.933.470
812;Lost;None;Manufacturing;Good;Annual;03-01-2022;44.049.747.164.828.500;3.177.784.575.883.920
813;Lost;None;Finance;Average;Annual;03-01-2022;4.202.201.551.874.030;19.513.916.885.211.700
814;Won;A;Finance;Average;Annual;03-01-2022;4.621.125.031.830.630;3.358.092.831.536.420
815;Won;A;Government;Good;Monthly;03-01-2022;5.052.556.686.090.170;18.656.134.847.798.200
816;Won;B;Academia;Good;Monthly;03-01-2022;43.092.433.552.674.800;1.693.774.753.462.270
817;Won;A;Energy;Poor;Annual;03-01-2022;4.325.733.107.982.870;3.314.528.544.955.550
818;Won;B;Government;Good;Annual;03-01-2022;4.556.980.015.750.570;15.154.134.951.163.900
819;Won;A;Manufacturing;Average;Annual;03-01-2022;3.894.839.496.997.580;3.557.029.706.847.400
820;Won;A;Government;Good;Annual;03-01-2022;47.729.737.526.572.800;3.626.272.968.211.820
821;Lost;A;Energy;Good;Monthly;03-01-2022;5.546.383.005.956.560;1.340.851.329.812.010
822;Won;B;Government;Good;Monthly;03-01-2022;5.355.416.582.392.850;33.923.144.925.580.400
823;Lost;A;Manufacturing;Poor;Annual;03-01-2022;4.308.997.565.987.060;2.987.277.221.372.440
824;Lost;A;Academia;Average;Annual;03-01-2022;3.519.622.615.045.100;5.214.704.025.622.340
825;Lost;None;Manufacturing;Good;Monthly;03-01-2022;43.755.775.869.344.200;3.063.128.273.898.330
826;Won;B;Manufacturing;Good;Annual;03-01-2022;3.665.573.718.954.200;3.899.935.696.908.420
827;Lost;B;Energy;Good;Monthly;03-01-2022;49.531.749.193.297.000;434.773.974.810.348
828;Lost;B;Finance;Good;Annual;03-01-2022;4.779.903.566.892.060;27.557.223.629.840.200
829;Won;A;Energy;Good;Monthly;03-01-2022;5.404.501.077.393.380;34.777.003.967.233.300
